REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PHARMACEUTICAL,Pharmaceutical,TIME_PERIOD,OBS_VALUE
CRI,Costa Rica,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2014,0.4
CRI,Costa Rica,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2015,0.5
CRI,Costa Rica,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2016,0.5
CRI,Costa Rica,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2017,0.6
CRI,Costa Rica,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2018,0.5
CRI,Costa Rica,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2019,0.4
CRI,Costa Rica,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2020,0.3
CRI,Costa Rica,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2021,0.5
CRI,Costa Rica,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2022,0.4
CAN,Canada,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,J01,Antibacterials for systemic use,2013,15.3
CAN,Canada,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,J01,Antibacterials for systemic use,2014,14.9
CAN,Canada,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,J01,Antibacterials for systemic use,2015,14.8
CAN,Canada,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,J01,Antibacterials for systemic use,2016,16.7
CAN,Canada,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,J01,Antibacterials for systemic use,2017,16.4
CAN,Canada,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,J01,Antibacterials for systemic use,2018,16.1
CAN,Canada,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,J01,Antibacterials for systemic use,2019,13.9
CAN,Canada,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,J01,Antibacterials for systemic use,2020,11.3
CAN,Canada,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,J01,Antibacterials for systemic use,2021,10.4
CAN,Canada,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,J01,Antibacterials for systemic use,2022,11.8
CAN,Canada,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,J01,Antibacterials for systemic use,2023,13.7
CAN,Canada,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",B,Blood and blood forming organs,2013,18
CAN,Canada,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",B,Blood and blood forming organs,2014,20
CAN,Canada,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",B,Blood and blood forming organs,2015,21.4
CAN,Canada,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",B,Blood and blood forming organs,2016,24.4
CAN,Canada,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",B,Blood and blood forming organs,2017,26.2
CAN,Canada,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",B,Blood and blood forming organs,2018,27.9
CAN,Canada,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",B,Blood and blood forming organs,2019,29
CAN,Canada,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",B,Blood and blood forming organs,2020,31.5
CAN,Canada,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",B,Blood and blood forming organs,2021,33.2
CAN,Canada,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",B,Blood and blood forming organs,2022,33
SWE,Sweden,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C02,Antihypertensives,2013,1.9
SWE,Sweden,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C02,Antihypertensives,2014,2.1
SWE,Sweden,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C02,Antihypertensives,2015,2.5
SWE,Sweden,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C02,Antihypertensives,2016,2.4
SWE,Sweden,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C02,Antihypertensives,2017,2.5
SWE,Sweden,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C02,Antihypertensives,2018,2.5
SWE,Sweden,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C02,Antihypertensives,2019,2.8
SWE,Sweden,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C02,Antihypertensives,2020,3.4
SWE,Sweden,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C02,Antihypertensives,2021,3.3
SWE,Sweden,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C02,Antihypertensives,2022,3.4
BEL,Belgium,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05B,Anxiolytics,2013,7.6
BEL,Belgium,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05B,Anxiolytics,2014,7.9
BEL,Belgium,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05B,Anxiolytics,2015,7.7
BEL,Belgium,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05B,Anxiolytics,2016,8.2
BEL,Belgium,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05B,Anxiolytics,2017,7.8
BEL,Belgium,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05B,Anxiolytics,2018,7.6
BEL,Belgium,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05B,Anxiolytics,2019,7.4
BEL,Belgium,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05B,Anxiolytics,2020,7.5
BEL,Belgium,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05B,Anxiolytics,2021,7.4
BEL,Belgium,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05B,Anxiolytics,2022,7.6
ESP,Spain,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,C03,Diuretics,2013,41.6
ESP,Spain,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,C03,Diuretics,2014,43.6
ESP,Spain,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,C03,Diuretics,2015,43.6
ESP,Spain,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,C03,Diuretics,2016,43.7
ESP,Spain,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,C03,Diuretics,2017,43.3
ESP,Spain,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,C03,Diuretics,2018,43.7
ESP,Spain,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,C03,Diuretics,2019,43.5
ESP,Spain,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,C03,Diuretics,2020,42.9
ESP,Spain,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,C03,Diuretics,2021,42.8
ESP,Spain,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,C03,Diuretics,2022,41.8
ESP,Spain,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,C03,Diuretics,2023,40.4
ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",J01,Antibacterials for systemic use,2013,22
ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",J01,Antibacterials for systemic use,2014,21.8
ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",J01,Antibacterials for systemic use,2015,21.5
ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",J01,Antibacterials for systemic use,2016,21
ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",J01,Antibacterials for systemic use,2017,21
ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",J01,Antibacterials for systemic use,2018,21.2
ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",J01,Antibacterials for systemic use,2019,21.4
ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",J01,Antibacterials for systemic use,2020,17.9
ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",J01,Antibacterials for systemic use,2021,17.1
ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",J01,Antibacterials for systemic use,2022,21.3
AUS,Australia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2013,0.6
AUS,Australia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2014,0.6
AUS,Australia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2015,0.7
AUS,Australia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2016,0.8
AUS,Australia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2017,0.8
AUS,Australia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2018,0.8
AUS,Australia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2019,0.7
AUS,Australia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2020,0.7
AUS,Australia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2021,0.6
AUS,Australia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2022,0.6
LUX,Luxembourg,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,B,Blood and blood forming organs,2013,118.8
LUX,Luxembourg,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,B,Blood and blood forming organs,2014,125.9
LUX,Luxembourg,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,B,Blood and blood forming organs,2015,127.7
LUX,Luxembourg,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,B,Blood and blood forming organs,2016,138.7
LUX,Luxembourg,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,B,Blood and blood forming organs,2017,152.1
LUX,Luxembourg,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,B,Blood and blood forming organs,2018,161
LUX,Luxembourg,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,B,Blood and blood forming organs,2019,170.9
LUX,Luxembourg,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,B,Blood and blood forming organs,2020,176.4
LUX,Luxembourg,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,B,Blood and blood forming organs,2022,190
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2013,5.7
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2014,5.7
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2015,5.6
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2016,8
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2017,7.8
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2018,7.7
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2019,8.1
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2020,8.6
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2021,8.4
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2022,8.4
SVN,Slovenia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C09,Agents acting on the Renin-Angiotensin system,2013,35
SVN,Slovenia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C09,Agents acting on the Renin-Angiotensin system,2014,27.7
SVN,Slovenia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C09,Agents acting on the Renin-Angiotensin system,2015,24.4
SVN,Slovenia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C09,Agents acting on the Renin-Angiotensin system,2016,23.6
SVN,Slovenia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C09,Agents acting on the Renin-Angiotensin system,2017,24.1
SVN,Slovenia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C09,Agents acting on the Renin-Angiotensin system,2018,24.5
SVN,Slovenia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C09,Agents acting on the Renin-Angiotensin system,2019,26
SVN,Slovenia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C09,Agents acting on the Renin-Angiotensin system,2020,27.4
SVN,Slovenia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C09,Agents acting on the Renin-Angiotensin system,2021,27.6
SVN,Slovenia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C09,Agents acting on the Renin-Angiotensin system,2022,30.4
ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2014,7.7
ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2015,7.5
ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2016,7.7
ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2017,7.9
ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2018,7.8
ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2019,7.7
ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2020,7.9
ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2021,8
ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2022,8
ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2023,8
CHL,Chile,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C01B,"Antiarrhythmics, Class I and III",2013,0.3
CHL,Chile,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C01B,"Antiarrhythmics, Class I and III",2014,0.3
CHL,Chile,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C01B,"Antiarrhythmics, Class I and III",2015,0.2
CHL,Chile,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C01B,"Antiarrhythmics, Class I and III",2016,0.3
CHL,Chile,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C01B,"Antiarrhythmics, Class I and III",2017,0.3
CHL,Chile,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C01B,"Antiarrhythmics, Class I and III",2018,0.3
CHL,Chile,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C01B,"Antiarrhythmics, Class I and III",2019,0.4
CHL,Chile,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C01B,"Antiarrhythmics, Class I and III",2020,0.5
CHL,Chile,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C01B,"Antiarrhythmics, Class I and III",2021,0.5
CHL,Chile,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C01B,"Antiarrhythmics, Class I and III",2022,0.5
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2013,1.7
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2014,1.8
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2015,1.8
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2016,2.3
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2017,1.6
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2018,2.3
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2019,2.3
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2020,2.4
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2021,2.6
SVK,Slovak Republic,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N05C,Hypnotics and sedatives,2022,2.3
LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,A02B,Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),2013,30.9
LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,A02B,Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),2014,33.4
